orderID,sentBy,orderTime,itemVal,closedBy,restName,paidBy,from,item,itemCount,table,closedAt
47,P5,2021-08-01 17:10:05.825999+00:00,30,testCafeAdmin,testCafe,card,admin,Islak kek,1,d6,2021-08-01 18:11:14.632999+00:00
48,P1,2021-08-05 15:32:45.414999+00:00,11,testCafeAdmin,testCafe,card,admin,SU,2,d2,2021-08-05 18:13:40.617000+00:00
49,P1,2021-10-01 13:46:14.121999+00:00,10,testCafeAdmin,testCafe,card,admin,Çay,2,d3,2021-10-01 14:47:02.877000+00:00
50,P1,2021-09-04 17:51:20.483000+00:00,18,testCafeAdmin,testCafe,cash,admin,Yeşil Çay,1,d1,2021-09-04 18:24:27.055000+00:00
51,P1,2021-08-22 18:31:13.196000+00:00,5,testCafeAdmin,testCafe,cash,admin,SU,1,d14,2021-08-22 19:43:53.141999+00:00
52,P6,2021-08-09 13:32:43.993999+00:00,32,testCafeAdmin,testCafe,card,admin,Cappucino,2,d11,2021-08-09 14:04:00.805000+00:00
53,P1,2021-08-18 18:15:57.529000+00:00,25.875,testCafeAdmin,testCafe,card,admin,Oralet,1,s6,2021-08-18 18:27:40.428999+00:00
54,P1,2021-08-07 17:47:26.130000+00:00,30,testCafeAdmin,testCafe,cash,admin,Oralet,1,d5,2021-08-07 18:39:26.276999+00:00
55,P5,2021-08-07 07:47:51.150000+00:00,28,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s10,2021-08-07 07:51:17.332999+00:00
56,P1,2021-10-08 16:59:28.861000+00:00,5,testCafeAdmin,testCafe,card,admin,Çay,1,d10,2021-10-08 17:49:13.125000+00:00
57,P7,2021-09-19 16:12:16.046000+00:00,30,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,d16,2021-09-19 17:35:01.187000+00:00
58,P1,2021-08-06 15:59:20.122999+00:00,33,testCafeAdmin,testCafe,card,admin,Oralet,1,d5,2021-08-06 16:27:19.484999+00:00
59,P5,2021-07-08 19:07:30.135999+00:00,30,testCafeAdmin,testCafe,cash,admin,Islak kek,1,d10,2021-07-08 20:12:38.694000+00:00
60,P1,2021-08-05 18:08:38.415999+00:00,12,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,d6,2021-08-05 18:37:42.934999+00:00
61,P1,2021-08-21 11:21:34.546999+00:00,16.5,testCafeAdmin,testCafe,cash,admin,Çay,3,d11,2021-08-21 12:33:43.230000+00:00
62,P1,2021-08-06 16:28:41.490000+00:00,28,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,d16,2021-08-06 17:43:22.663000+00:00
63,P1,2021-08-13 18:00:05.591000+00:00,30,testCafeAdmin,testCafe,card,admin,Muzlu Oralet,1,d6,2021-08-13 18:19:24.894999+00:00
64,P1,2021-07-31 17:24:40.127000+00:00,5.75,testCafeAdmin,testCafe,cash,admin,Çay,1,d4,2021-07-31 18:11:19.099999+00:00
65,P1,2021-08-08 18:50:53.088999+00:00,18.63,testCafeAdmin,testCafe,card,admin,Limonata,1,b4,2021-08-08 19:24:26.789999+00:00
66,P1,2021-08-19 12:26:18.693000+00:00,24,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,2,d1,2021-08-19 12:53:42.946000+00:00
67,P6,2021-07-19 12:06:54.516000+00:00,27.797,testCafeAdmin,testCafe,card,admin,CheeseCake,1,s4,2021-07-19 13:01:30.937999+00:00
68,P6,2021-08-27 14:20:24.655999+00:00,32.2,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s1,2021-08-27 14:56:37.815999+00:00
69,P1,2021-07-25 19:24:44.460999+00:00,5.5,testCafeAdmin,testCafe,card,admin,SU,1,d1,2021-07-25 20:13:43.237999+00:00
70,P3,2021-09-01 14:09:29.930999+00:00,19,testCafeAdmin,testCafe,cash,admin,Kivi,1,s6,2021-09-01 14:33:59.121999+00:00
71,P6,2021-07-16 15:17:35.993000+00:00,30,testCafeAdmin,testCafe,cash,admin,Muzlu Oralet,1,s7,2021-07-16 16:19:45.142999+00:00
72,P1,2021-09-04 12:02:08.270999+00:00,10,testCafeAdmin,testCafe,cash,admin,Çay,2,d1,2021-09-04 12:20:39.921999+00:00
73,P6,2021-07-31 13:51:44.183000+00:00,28,testCafeAdmin,testCafe,card,admin,CheeseCake,1,s4,2021-07-31 14:49:58.477999+00:00
74,P2,2021-08-15 17:38:50.286999+00:00,28,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s1,2021-08-15 18:02:36.970000+00:00
75,P5,2021-07-03 13:18:32.684000+00:00,10.2,testCafeAdmin,testCafe,card,admin,Türk Kahvesi,1,d10,2021-07-03 14:19:52.194999+00:00
76,P1,2021-10-03 19:13:23.256000+00:00,30,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,d8,2021-10-03 19:45:10.112000+00:00
77,P5,2021-08-04 13:37:00.315000+00:00,28,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s7,2021-08-04 15:10:17.321000+00:00
78,P1,2021-08-05 16:40:36.121000+00:00,12,testCafeAdmin,testCafe,card,admin,Türk Kahvesi,1,d10,2021-08-05 18:24:49.173000+00:00
79,P5,2021-07-02 18:03:27.526000+00:00,5,testCafeAdmin,testCafe,card,admin,Çay,1,b8,2021-07-02 18:53:27.736000+00:00
80,P6,2021-07-29 12:41:52.640000+00:00,30,testCafeAdmin,testCafe,card,admin,Muzlu Oralet,1,d3,2021-07-29 13:06:57.525000+00:00
81,P7,2021-09-14 19:26:19.683000+00:00,4.75,testCafeAdmin,testCafe,cash,admin,SU,1,d11,2021-09-14 19:53:34.712000+00:00
82,P6,2021-08-27 14:22:22.950000+00:00,13.8,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,s1,2021-08-27 14:56:37.815999+00:00
83,P6,2021-08-21 18:09:39.167999+00:00,5,testCafeAdmin,testCafe,card,admin,SU,1,d7,2021-08-21 18:57:48.463999+00:00
84,P1,2021-07-18 15:51:03.663000+00:00,30.8,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s2,2021-07-18 16:22:12.161999+00:00
85,P3,2021-09-12 11:34:45.877000+00:00,18,testCafeAdmin,testCafe,cash,admin,Limonata,1,d13,2021-09-12 12:15:29.963999+00:00
86,P1,2021-08-20 19:13:43.052999+00:00,5,testCafeAdmin,testCafe,cash,admin,SU,1,d17,2021-08-20 19:18:57.782000+00:00
87,P7,2021-10-06 16:30:01.805000+00:00,10,testCafeAdmin,testCafe,cash,admin,Çay,2,d1,2021-10-06 16:39:44.704000+00:00
88,P1,2021-09-25 18:31:45.720000+00:00,30,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,b2,2021-09-25 18:48:53.320000+00:00
89,P6,2021-08-23 16:38:10.033999+00:00,5.75,testCafeAdmin,testCafe,cash,admin,SU,1,d10,2021-08-23 17:09:55.003999+00:00
90,P1,2021-08-29 16:09:27.176000+00:00,20.7,testCafeAdmin,testCafe,cash,admin,AROMALI Kivi,1,d2,2021-08-29 16:41:00.769999+00:00
91,P2,2021-07-05 10:01:43.770999+00:00,14,testCafeAdmin,testCafe,card,admin,SODA,2,d4,2021-07-05 10:17:38.073999+00:00
92,P1,2021-07-23 15:33:21.187000+00:00,10,testCafeAdmin,testCafe,cash,admin,Çay,2,d18,2021-07-23 16:00:07.829999+00:00
93,P1,2021-07-28 16:36:15.532999+00:00,13.8,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,s3,2021-07-28 17:01:22.796999+00:00
94,P7,2021-10-03 11:04:20.635999+00:00,5,testCafeAdmin,testCafe,card,admin,SU,1,b8,2021-10-03 11:49:44.180000+00:00
95,P1,2021-09-10 15:45:47.927000+00:00,30,testCafeAdmin,testCafe,card,admin,Islak kek,1,d10,2021-09-10 16:22:16.490000+00:00
96,P1,2021-08-22 15:17:26.331000+00:00,22,testCafeAdmin,testCafe,card,admin,Limonata,1,d3,2021-08-22 16:04:46.323999+00:00
97,P5,2021-07-01 19:12:58.364000+00:00,5,testCafeAdmin,testCafe,cash,admin,SU,1,b4,2021-07-01 20:32:22.457999+00:00
98,P7,2021-09-30 14:54:54.112999+00:00,23.8,testCafeAdmin,testCafe,card,admin,Türk Kahvesi,2,s4,2021-09-30 16:07:04.155000+00:00
99,P7,2021-10-02 14:06:18.539000+00:00,30,testCafeAdmin,testCafe,card,admin,Islak kek,1,s7,2021-10-02 14:27:28.845000+00:00
100,P7,2021-09-20 15:38:40.276000+00:00,5,testCafeAdmin,testCafe,cash,admin,SU,1,d14,2021-09-20 16:03:09.251000+00:00
101,P1,2021-07-31 17:14:11.769000+00:00,39.33,testCafeAdmin,testCafe,cash,admin,Yeşil Çay,2,d11,2021-07-31 18:48:57.236999+00:00
102,P1,2021-08-08 19:07:12.802999+00:00,13.2,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,d10,2021-08-08 19:37:16.094000+00:00
103,P6,2021-08-16 18:26:53.019000+00:00,5.5,testCafeAdmin,testCafe,card,admin,SU,1,d17,2021-08-16 19:05:13.634000+00:00
104,P5,2021-08-04 13:29:13.164999+00:00,30.8,testCafeAdmin,testCafe,card,admin,CheeseCake,1,s7,2021-08-04 13:53:07.862999+00:00
105,P6,2021-08-16 19:13:05.325000+00:00,25.088,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,b1,2021-08-16 19:36:22.424999+00:00
106,P6,2021-08-31 19:40:49.167000+00:00,5,testCafeAdmin,testCafe,card,admin,Çay,1,s7,2021-08-31 19:47:11.615999+00:00
107,P1,2021-09-08 16:02:30.818000+00:00,30,testCafeAdmin,testCafe,card,admin,Islak kek,1,b8,2021-09-08 16:49:04.687000+00:00
108,P5,2021-08-08 14:23:33.361000+00:00,10.2,testCafeAdmin,testCafe,card,admin,Türk Kahvesi,1,b1,2021-08-08 14:40:07.950999+00:00
109,P3,2021-09-06 19:08:50.131999+00:00,31.05,testCafeAdmin,testCafe,cash,admin,Islak kek,1,s5,2021-09-06 19:32:34.789000+00:00
110,P3,2021-09-09 19:25:07.953999+00:00,20.7,testCafeAdmin,testCafe,card,admin,Limonata,1,d14,2021-09-09 19:54:13.101000+00:00
111,P5,2021-07-04 13:08:36.331000+00:00,5,testCafeAdmin,testCafe,card,admin,SU,1,d8,2021-07-04 13:29:28.292000+00:00
112,P2,2021-07-19 10:47:45.608000+00:00,10,testCafeAdmin,testCafe,card,admin,SU,2,d1,2021-07-19 13:02:26.733999+00:00
113,P2,2021-07-12 10:11:50.585000+00:00,10,testCafeAdmin,testCafe,cash,admin,Çay,2,d13,2021-07-12 14:26:30.308000+00:00
114,P1,2021-08-03 19:32:57.315000+00:00,36,testCafeAdmin,testCafe,cash,admin,Limonata,2,s2,2021-08-03 19:59:01.447000+00:00
115,P5,2021-08-13 10:57:27.667999+00:00,5,testCafeAdmin,testCafe,cash,admin,SU,1,b5,2021-08-13 11:02:51.663000+00:00
116,P1,2021-08-05 16:07:06.381999+00:00,13.2,testCafeAdmin,testCafe,card,admin,Türk Kahvesi,1,d8,2021-08-05 17:01:00.589999+00:00
117,P1,2021-08-21 09:55:00.559000+00:00,12,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,s4,2021-08-21 10:10:46.230999+00:00
118,P1,2021-10-03 17:52:33.290000+00:00,30,testCafeAdmin,testCafe,card,admin,CheeseCake,1,d10,2021-10-03 20:02:26.711000+00:00
119,P1,2021-09-04 16:58:25.308000+00:00,30,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,b6,2021-09-04 18:42:47.414000+00:00
120,P6,2021-07-23 15:42:08.191999+00:00,26.4,testCafeAdmin,testCafe,card,admin,Türk Kahvesi,2,d6,2021-07-23 16:26:45.631000+00:00
121,P5,2021-06-25 17:01:22.900000+00:00,5,testCafeAdmin,testCafe,cash,admin,SU,1,b8,2021-06-25 18:18:18.217000+00:00
122,P6,2021-07-29 13:05:12.207999+00:00,106.26,testCafeAdmin,testCafe,card,admin,CheeseCake,3,s2,2021-07-29 13:28:28.730999+00:00
123,P1,2021-10-02 17:19:07.068000+00:00,10,testCafeAdmin,testCafe,cash,admin,Çay,2,d5,2021-10-02 17:33:38.276000+00:00
124,P1,2021-09-26 14:40:51.118000+00:00,11.9,testCafeAdmin,testCafe,card,admin,Türk Kahvesi,1,d4,2021-09-26 15:07:23.310000+00:00
125,P1,2021-08-12 15:45:21.482000+00:00,5,testCafeAdmin,testCafe,cash,admin,SU,1,d5,2021-08-12 17:29:16.974999+00:00
126,P1,2021-08-08 12:59:14.401999+00:00,5,testCafeAdmin,testCafe,card,admin,Çay,1,b4,2021-08-08 13:22:21.263999+00:00
127,P1,2021-09-07 14:04:48.111999+00:00,60,testCafeAdmin,testCafe,cash,admin,CheeseCake,2,a0,2021-09-07 14:03:38.605000+00:00
128,P1,2021-07-25 17:18:49.250999+00:00,34.5,testCafeAdmin,testCafe,card,admin,Oralet,1,d2,2021-07-25 17:52:22.584000+00:00
129,P6,2021-09-03 14:56:49.394000+00:00,31.05,testCafeAdmin,testCafe,cash,admin,Oralet,1,d5,2021-09-03 16:42:39.003000+00:00
130,P1,2021-08-22 17:07:07.045000+00:00,10.17,testCafeAdmin,testCafe,cash,admin,SU,2,d8,2021-08-22 17:43:10.461999+00:00
131,P1,2021-08-12 15:47:02.223000+00:00,4.4,testCafeAdmin,testCafe,cash,admin,SU,1,s7,2021-08-12 16:08:50.055999+00:00
132,P5,2021-08-02 19:18:00.552000+00:00,30.8,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s2,2021-08-02 19:41:19.200999+00:00
133,P6,2021-08-26 18:17:14.552999+00:00,32.2,testCafeAdmin,testCafe,card,admin,CheeseCake,1,d2,2021-08-26 19:01:46.650000+00:00
134,P6,2021-08-16 18:30:46.749000+00:00,4.368,testCafeAdmin,testCafe,cash,admin,SU,1,d16,2021-08-16 19:06:06.818000+00:00
135,P6,2021-08-27 18:30:39.323999+00:00,12,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,d7,2021-08-27 19:18:33.276999+00:00
136,P1,2021-08-22 14:51:49.085999+00:00,12,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,d2,2021-08-22 16:05:31.068000+00:00
137,P1,2021-07-21 18:22:33.328000+00:00,13.2,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,b5,2021-07-21 19:22:59.147000+00:00
138,P6,2021-09-05 15:51:10.663000+00:00,34.5,testCafeAdmin,testCafe,card,admin,CheeseCake,1,d6,2021-09-05 18:27:47.743000+00:00
139,P1,2021-07-24 16:13:18.844000+00:00,18,testCafeAdmin,testCafe,card,admin,Limonata,1,s4,2021-07-24 16:42:14.829999+00:00
140,P2,2021-08-10 17:43:33.029999+00:00,12,testCafeAdmin,testCafe,card,admin,SU,2,d7,2021-08-10 18:56:55.984999+00:00
141,P1,2021-08-04 15:42:35.914999+00:00,15,testCafeAdmin,testCafe,card,admin,Americano,1,d4,2021-08-04 16:19:18.407999+00:00
142,P7,2021-09-18 15:50:04.750000+00:00,36,testCafeAdmin,testCafe,cash,admin,Limonata,2,s6,2021-09-18 16:10:05.330000+00:00
143,P1,2021-09-11 16:14:13.677000+00:00,14,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,b8,2021-09-11 16:41:03.644000+00:00
144,P3,2021-09-03 16:13:51.499000+00:00,28.05,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s4,2021-09-03 16:40:32.315999+00:00
145,P1,2021-08-31 17:23:36.302000+00:00,5,testCafeAdmin,testCafe,card,admin,Çay,1,d2,2021-08-31 18:08:07.877000+00:00
146,P1,2021-07-23 17:17:45.535000+00:00,5,testCafeAdmin,testCafe,card,admin,Çay,1,d1,2021-07-23 17:47:20.694000+00:00
147,P1,2021-08-28 16:31:52.084000+00:00,5.95,testCafeAdmin,testCafe,cash,admin,SODA,1,b8,2021-08-28 17:08:34.710999+00:00
148,P6,2021-09-05 14:59:57.789999+00:00,5.75,testCafeAdmin,testCafe,cash,admin,Çay,1,b6,2021-09-05 16:32:38.171999+00:00
149,P3,2021-09-03 18:11:04.470999+00:00,30,testCafeAdmin,testCafe,card,admin,Oralet,1,d17,2021-09-03 18:27:56.191999+00:00
150,P2,2021-08-15 18:56:41.668999+00:00,25.088,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,d1,2021-08-15 19:29:48.697999+00:00
151,P1,2021-08-29 17:57:21.084000+00:00,30,testCafeAdmin,testCafe,cash,admin,Oralet,1,d15,2021-08-29 18:36:46.726000+00:00
152,P6,2021-08-23 15:31:27.815000+00:00,30,testCafeAdmin,testCafe,card,admin,Muzlu Oralet,1,b4,2021-08-23 15:55:47.622999+00:00
153,P5,2021-07-08 19:18:54.651999+00:00,5,testCafeAdmin,testCafe,cash,admin,Çay,1,d15,2021-07-08 20:06:46.664999+00:00
154,P7,2021-10-12 17:36:55.470000+00:00,30,testCafeAdmin,testCafe,card,admin,CheeseCake,1,s7,2021-10-12 18:05:07.564000+00:00
155,P5,2021-07-04 13:14:04.871000+00:00,25,testCafeAdmin,testCafe,card,admin,CheeseCake,1,d11,2021-07-04 13:36:02.661999+00:00
156,P7,2021-09-27 15:38:43.756000+00:00,14,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,d1,2021-09-27 16:08:05.679000+00:00
157,P6,2021-07-24 17:01:03.634999+00:00,28,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,d17,2021-07-24 17:31:20.936000+00:00
158,P5,2021-07-10 17:02:25.864000+00:00,7,testCafeAdmin,testCafe,card,admin,SODA,1,b1,2021-07-10 17:39:36.573999+00:00
159,P3,2021-09-06 14:59:54.395999+00:00,30,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s1,2021-09-06 14:58:54.249000+00:00
160,P3,2021-09-03 18:05:30.186000+00:00,30,testCafeAdmin,testCafe,cash,admin,Oralet,1,d11,2021-09-03 19:01:49.177000+00:00
161,P3,2021-09-01 14:20:03.923000+00:00,12,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,d5,2021-09-01 14:35:30.595999+00:00
162,P7,2021-09-16 15:05:25.129000+00:00,15,testCafeAdmin,testCafe,cash,admin,Filtre Kahve,1,d1,2021-09-16 15:36:57.457000+00:00
163,P5,2021-07-25 18:52:14.602999+00:00,11.5,testCafeAdmin,testCafe,cash,admin,Çay,2,d2,2021-07-25 19:59:52.746999+00:00
164,P1,2021-08-06 16:28:19.891999+00:00,16,testCafeAdmin,testCafe,cash,admin,Cappucino,1,d16,2021-08-06 17:43:22.663000+00:00
165,P5,2021-07-26 19:21:21.737999+00:00,10,testCafeAdmin,testCafe,cash,admin,Çay,2,d5,2021-07-26 20:43:15.240999+00:00
166,P3,2021-09-07 14:44:43.628999+00:00,30,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,b1,2021-09-07 15:04:31.220999+00:00
167,P6,2021-07-24 16:59:03.240000+00:00,12.54,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,d8,2021-07-24 18:00:36.023000+00:00
168,P1,2021-07-31 15:50:09.670000+00:00,66,testCafeAdmin,testCafe,cash,admin,Muzlu Oralet,2,s3,2021-07-31 16:16:54.190000+00:00
169,P7,2021-10-04 19:40:53.010999+00:00,10,testCafeAdmin,testCafe,cash,admin,SU,2,d7,2021-10-04 20:03:04.607000+00:00
170,P5,2021-07-18 16:32:51.125999+00:00,5,testCafeAdmin,testCafe,cash,admin,SU,1,d3,2021-07-18 17:03:16.006000+00:00
171,P7,2021-09-14 17:26:11.862000+00:00,16.1,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,1,d1,2021-09-14 18:30:17.906000+00:00
172,P5,2021-08-03 12:17:55.759000+00:00,30.8,testCafeAdmin,testCafe,cash,admin,CheeseCake,1,s7,2021-08-03 12:30:09.674999+00:00
173,P6,2021-08-24 18:54:25.161000+00:00,24,testCafeAdmin,testCafe,cash,admin,Türk Kahvesi,2,b1,2021-08-24 19:17:03.561000+00:00
174,P3,2021-09-08 19:27:38.128999+00:00,20,testCafeAdmin,testCafe,cash,admin,Limonata,1,d14,2021-09-08 19:35:45.361999+00:00
175,P1,2021-08-05 18:12:07.299999+00:00,56,testCafeAdmin,testCafe,cash,admin,CheeseCake,2,d8,2021-08-05 19:02:07.471999+00:00
176,P1,2021-08-01 17:18:44.322999+00:00,18,testCafeAdmin,testCafe,card,admin,Limonata,1,d12,2021-08-01 17:54:12.553999+00:00
177,P3,2021-09-03 17:32:20.789999+00:00,18.4,testCafeAdmin,testCafe,cash,admin,Cappucino,1,d5,2021-09-03 17:58:22.121999+00:00
